Score,Album,Artist,Release Date,Notes (release),Notes (revisit),Year,Tiebreaker
6,Vultures 1,"Kanye West, Ty Dolla Sign",2/9/2024,Sigh. This album is so weird. I think that the highs on it are really good and it actually doesn't have the worst lows. But the lyricism (especially by Kanye but sometimes by guests) is SO BAD. It also feels so weird coming after donda where I would argue Kanye had pretty good lyricism. I don't think this album does anything special and I really hope that there are no more versions of it. Ty Dolla $ performed really well but I am not the biggest fan of him and his lyrics make me uncomfortable.,,2024,
7,Two Star & The Dream Police,Mk.gee,2/9/2024,Interesting project and want to check out more from them. Liked the first haldf more than the second for sure,,2024,
6,SCRAPYARD,Quadeca,2/16/2024,Interesting sound but not something I found myself interested in revisiting often,,2024,
5,2093,Yeat,2/17/2024,"Really dense project, hard to get through it all without it sounding same-y for me",,2024,
4,HEATHINISM,Meek Mill,2/29/2024,I was actually excited for this but it was pretty disappointing / uninteresting,,2024,
8,BLUE LIPS,Schoolboy Q,3/1/2024,This was not the sound I was expecting from this album but I really like it. I think Thank god 4 me is the most interesting song I have heard this year and I find myself revisiting it as well as the project as a whole. I think the back half of the project is a bit weaker than the start and that holds me back rom giving it a 9 but I think it could change as I continue to revisti,,2024,
8,WE DON'T TRUST YOU,"Future, Metro Boomin",3/22/2024,"At this point, I think metro has solidified himself as the greatest produced of the modern era. I had high expectations for him for this project and he managed to deliver some interesting beats, great sample flips and overall entertainment for the entire length of the project. Metro did nothing to really impress me, but I think this just speaks to how good he has become. A project of this caliber is the expectation for Metro and probably unattainable by any other producer right now. Future managed to pleasantly surprise me. I did not expect a 40 year old future to keep up with bars for the length of this project but I think that he delivered. My only complaint for this album is that it seems a bit front-loaded with its big moments / surprises (Kendrick feature, Like That, Young Thug cameo, Travis Feature etc.). ",,2024,
6,Tyla,Tyla,3/22/2024,Did not come into this project with any real idea about Tyla's sound / any real expectations. From that perspective I think the project does a good job of establishing her sound and I think it is fitting as a self titled project. They seemed to be relatively restrained with length and feature usage which is always commendable. I don't think this sound is necessarily something I seek out or know too much about but I liked a lot of the tracks and see myself revisiting them.,,2024,
8,Mika's Laundry,Matt Champion,3/22/2024,,,2024,
5,Might Delete Later,J. Cole,4/5/2024,I was unbeleivably excited for this album due to all of the promotion and unexpected rop. I thought this would be a collection of loosies and that the fall off was soon to follow. It seems instead that this was a rushed project to help get more attention in the midst of ongoing rap beef. I think J. Cole mishandled the beef and that this project is clearly unpolished. Wish he had just released the single track and discussed his thought on the rap beef. This was a real legacy hurter,,2024,
4,Bryson Tiller,Bryson Tiller,4/5/2024,Artists need to stop making self titled projects unless they are truly trying to create a representation of themselves. This project was boring and misogynistic,,2024,
6,It's Us Vol. 1,Concret Boys,4/5/2024,I liked this project and was lucky enough to see a lot of the concrete family live at coachella. I think that the goal of this project was just to have fun and get some recognition for some of the non-yatchy memebrs. I think it did a good job of this.,,2024,
4,WE STILL DON'T TRUST YOU,"Metro Boomin, Future",4/12/2024,This project is so long and feels really uneccessary. I think it seriously detracts from the strength of WE DONT TRUST YOU. I think it could have been fun and good but there were just soo many tracks and it was difficult for me to stay engaged. I would definetly just have perferred a deluxe for the original rather than an entire 24 track seperate project.,,2024,
6,u made me a st4r,4batz,5/3/2024,I think the hype got to lil bro's head. I do think this album has some great tracks (mainly the singles) but aside from that there is a lot of room for growth. I think the features (both Drake's and Kanye's) are actually terrible. Feel like there is a lot of wasted potential there and i hope that this is not too big of a hit to his career. Hope he bounces back,,2024,
6,14 minutes,Dominic Fike,5/3/2024,I actually really liked basically every track on this project I just wish it was longer and more thematically cohesive. Clearly just a collection of loosies,,2024,
4,One of Wun,Gunna,5/10/2024,"Gunna just releases such huge overwhelming projects. I think that there is a lot of fluff here, so much so that a lot of the bright moments and hihglights get dulled out. Really dissapointing because usually as an artist gets bigger they have greater oppurtunity to release artistic projects.",,2024,
4,Almight So 2,Chief Keef,5/10/2024,,,2024,
5,Naked.,Perry Maysun,2/29/2024,"This project is pretty interesting. Saw this guy's tiktok, effectively he is a cancer patient who is very young (22). I think he has a really interesting perspective on life and I think he makes some really emotionally powerful music. Obviously there is a lot of room for growth but I enjoyed the listen and it definetly put them on my radar",,2024,
7,TIMELESS,KAYTRANADA,6/7/2024,Not exactly the music genre I listen to most. Lots of interesting tracks and really fun features. I,,2024,
5,11th Dimension,Ski Mask The Slump God,6/7/2024,Ski has never really been an album artist for me. Couple of hihglights here and some fun features but overall not that much to dissect.,,2024,
8,HARDSTONE PSYCHO,Don Toliver,6/14/2024,"I really enjoyed this album. Feel like I have never been able to get into Don but this project really showed me why people like him so much. Don is obviously the quintasential feature artist with every hiphop album of late haivng a government mandated Don Toliver feaure, so it is nice to see him shine on his own tracks with intersting beats. I think the album is long but it kept me invested and was interesting enough that I gave it several listens. Definetly will be revisiting throughout the year.",,2024,
8,HIT ME HARD AND SOFT,Billie Eilish,6/14/2024,Billie is one of the artists that puts genuine thought and care into crafting every single album. She could easily release a 22 track mess and get millions of streams but I really respect this project. A no feature introspective album that touches on a lot of her struggles in a much more mature way. I think the intro does a great job of setting the tone and I think a lot of Billie fans will love this project,,2024,
8,Why Lawd?,"NxWorries, Anderson .Paak, Knxwledge",6/14/2024,,,2024,
9,BRAT,Charli xcx,6/21/2024,Real contender for AOTY. Not too familiar with charli's work but this project is really great. Very unique sound. Love what is done betweenn 360 and 365 to open and close the project. Will be listening to this a lot for the rest of the year,,2024,
7,Samurai,Lupe Fiasco,6/28/2024,Very talented technically but not exactly my sound scape,,2024,
4,The death of slim shady (coup de grace),Eminem,7/12/2024,JID verse narrowly saves this from a 0.,,2024,
9,Bando Stone and the New World,Childish Gambino,7/19/2024,"The only thing holding this project back from being a 10 for me is that the narrative is not cohesive. I feel like there is the movie narrative + this other thread of gambino becoming a father and living his life and finding love. They feel disconnected to me, but maybe the movie's release will clear that up and this will retroactively improve. Amazing album tho, really innovative and interesting sound and every song kept me engaged and felt holistic even though they are so different",,2024,
8,King Of The Mischievous South Vol. 2,Denzel Curry,7/19/24,,,2024,
6,ACCELERATOR,greek,7/19/24,"Very fun album, really liked the sound and was super different from what I have been listening to recently",,2024,
7,SMILE! :D,Porter Robinson,7/26/2024,,,2024,
5,Y2K,Ice Spice,7/26/2024,I really wanted to like this album more,,2024,
9,I LAY DOWN MY LIFE FOR YOU,JPEGMAFIA,8/2/2024,Wow this is the first Peggy project I got through on the first listen. I really like this hypertrap sound and I feel like a few of the tracks have that deeper connection that I have felt is lacking in his music,,2024,
8,4EVR,"ISOxo, Knock2",8/2/2024,"Very fun album. I like this ""hypertrap"" esque sound. Feel like there is a lot of carti / Ye influence but not sure don't know too much about it",,2024,
6,Sincere,Khallid,8/2/2024,,,2024,
5,Vultures 2,"Kanye West, Ty Dolla Sign",8/3/2024,First Kanye album that I have listened to that really feels like there is no central theme or concept or idea tying it together. This feels like a posthomonous Kanye project.,,2024,
6,Ultra 85,Logic,8/9/2024,Not personally a fan of this project but I appreciate that Logic is not afraid to discuss topics that other rappers shy away from. Lots of personal cuts and I think this would be  a great project for a Logic fan. Lots of interesting and fun beats and even I was never really bored throughout this 20 track project. I like that Logic has found a place and seems to be happy making music again,,2024,
4,Buzz,NIKI,8/9/2024,,,2024,
8,This Is How Tomorrow Moves,beabadoobee,8/9/2024,"Very sad but very good, beginning is stronger than the end for me",,2024,
6,THE FIRST TIME,The Kid LAROI,8/9/2024,"Liked it more than I thought I would, but it is just far too long",,2024,
6,Sugar Honey Iced Tea,Latto,8/9/2024,"Clearly released for the streaming numbers, feel like there is a really good project in here but there is so much fluff",,2024,
8,Days Before Rodeo,Travis Scott,8/18/2024,,,2024,
7,Imaginal Disk,Magdalena Bay,8/23/24,,,2024,
6,Short n' Sweet,Sabrina Carpenter,8/23/24,Feel like the singles outshines the rest of this project. Seems like it was a bit rushed to release to capitalize on the popularity. Also project was a bit too horny for me. Excited to see what is next to come though / hoping for a more introspective album in the future,,2024,
8,Alligator Bites Never Heal,Doechii,8/30/2024,I usually really don't like Boom Bap style music but this album was so good. My only complaints are that all the songs are so short. Doechii's flows are up their with the best and the pockets she manages to find are really fun. I think the beat selection is good but the first half outshines the second for me,,2024,
4,Love Lasts Forever,Destroy Lonely,8/30/2024,Super bloated project that really shows a lack of development for me,,2024,
5,Better MeThan You,Big Sean,8/30/2024,This album just leaves me wondering what happened to BIg Sean. All of his rhymes feel so forced and I am not sure if it is because of the way he annunciates or just his voice. The feature list for this project got me really excited but I just feel like every song is so emotionless / forced.,,2024,
4,BRASH DUMMIES,Mozzy,8/30/2024,,,2024,
5,All Time High,Strick,8/30/2024,,,2024,
6,ten days,Fred again..,9/6/2024,,,2024,
6,The Alexander Technique,Rex Orange County,9/6/2024,,,2024,
6,MIXTAPE PLUTO,Future,9/20/2024,Fun project and him possessing all spots of the top 10 at 40 is crazy to see.,,2024,
6,PLAN A,Lil Tecca,9/20/2024,I like how the songs all blend together but the project was too long / similar for me,,2024,
7,Brat and it's completely different but also brat,Charli xcx,10/11/2024,I like the concept of this album and how a lot of the song respond to the original (even though some of them I do not agree with that muhc.) I thought going into this that I was really not going to like it because of how big brat has gotten and how I feel that has in a way taken away from the album but I'm glad to see charli is still making good music above all else.,,2024,
4,LYFESTYLE,Yeat,10/18/2024,,,2024,
7,2024 A case Study of the Long Term Effects of Young Love,Jaden,10/18/2024,Fun little EP,,2024,
9,CHROMAKOPIA,Tyler the Creator,10/28/2024,"Initial thoughts - 2 Listens
",,2024,1
7,11,Westside Gunn,10/31/2024,,,2024,
5,You Only Die 1nce,Freddie Gibbs,10/31/2024,,,2024,
4,Eternal Atake 2,Lil Uzi Vert,11/1/2024,this was a frustrating listen,,2024,
8,Soul Burger,Ab-Soul,11/8/2024,,,2024,
6,Personification,Maxo Cream,11/15/2024,,,2024,
6,Petrichor,070 Shake,11/15/2024,I could not get into this,,2024,
7,The Crossroads,Cordae,11/15/2024,Pretty good but got bored of it 1/2 way through,,2024,
8,GNX,Kendrick Lamar,11/22/2024,A bit underwhelming but only because so much is expected from a kendrick album. Interesting to see if this will end up resulting in more work or if this was meant to be the entire project. 2024 as a whole can be thought of as a project for him and he really owned the year,,2024,
5,The Party Never Ends,Juice WRLD,11/29/2024,Wish they had took a little more time with this but atleast they will stop trying to make moeny off his name,,2024,
8,Maybe in Nirvana,Smino,12/6/2024,,,2024,
5,SOS Deluxe: LANA,SZA,12/20/2024,Mixing on this deluxe was so weird but good tape for SZA fans.,,2024,
5,WHAM,Lil Baby,1/3/2025,,,2025,
